stride, size, friendly, unfriendly
 1,     4096,    17901,      18044
 1,     4096,    17777,      17958
 1,     4096,    17731,      17954
 1,     4096,    17703,      17954
 1,     4096,    17751,      17954
 1,     8192,    35325,      35805
 1,     8192,    35326,      35806
 1,     8192,    35306,      35803
 1,     8192,    35370,      35810
 1,     8192,    35300,      35810
 1,    16384,    70560,      71518
 1,    16384,    70523,      71522
 1,    16384,    70560,      71521
 1,    16384,    70508,      71521
 1,    16384,    70530,      71522
 1,    32768,   140910,     142931
 1,    32768,   141029,     142931
 1,    32768,   140894,     142931
 1,    32768,   185535,      66125
 1,    32768,    51910,      52661
 1,    65536,   103815,     105295
 1,    65536,   103804,     105276
 1,    65536,   103796,     105274
 1,    65536,   103795,     105281
 1,    65536,   103796,     105276
 1,   131072,   207556,     210557
 1,   131072,   207552,     210559
 1,   131072,   207552,     210551
 1,   131072,   213985,     210790
 1,   131072,   207575,     210536
 1,   262144,   415083,     421221
 1,   262144,   415064,     421221
 1,   262144,   420555,     421230
 1,   262144,   415045,     421215
 1,   262144,   415058,     421219
 1,   524288,   842234,     842369
 1,   524288,   831282,     842311
 1,   524288,   830014,     842308
 1,   524288,   830266,     858780
 1,   524288,   830058,     842302
 1,  1048576,  1686561,    1693032
 1,  1048576,  1671815,    1702777
 1,  1048576,  1701402,    1692366
 1,  1048576,  1675605,    1687854
 1,  1048576,  1665578,    1706497
 1,  2097152,  3413767,    3449699
 1,  2097152,  3410661,    3445386
 1,  2097152,  3407287,    3447136
 1,  2097152,  3426134,    3448486
 1,  2097152,  3418807,    3449090
 1,  4194304,  6834117,    6933671
 1,  4194304,  6832223,    6928909
 1,  4194304,  6821089,    6916107
 1,  4194304,  6804286,    6932346
 1,  4194304,  6812455,    6932938
 1,  8388608, 13630915,   13853680
 1,  8388608, 13627844,   13866374
 1,  8388608, 13658853,   13958971
 1,  8388608, 13634265,   13880963
 1,  8388608, 13665671,   13851512
 1, 16777216, 27285593,   27683516
 1, 16777216, 27259180,   27703033
 1, 16777216, 27292148,   27789067
 1, 16777216, 27275897,   27760538
 1, 16777216, 27310656,   27699810
 1, 33554432, 54591985,   55449785
 1, 33554432, 54564290,   55425446
 1, 33554432, 54537418,   55435397
 1, 33554432, 54536607,   55426664
 1, 33554432, 54543848,   55424306
 2,     4096,     6564,       6665
 2,     4096,     6532,       6668
 2,     4096,     6526,       6669
 2,     4096,     6541,       6669
 2,     4096,     6528,       6671
 2,     8192,    13016,      13279
