 num,  friendly, unfriendly
   4,       397,        294
   8,       451,        447
  12,       738,        816
  16,      1263,       1221
  20,      1822,       1737
  24,      2601,       2350
  28,      3566,       3054
  32,      4533,       6985
  36,      5721,       7993
  40,      7001,       7965
  44,      8511,       8380
  48,     10034,       8232
  52,    101464,       9624
  56,     13719,      13752
  60,     15646,      15442
  64,     17739,      16927
  68,     19980,      22502
  72,     22457,      25013
  76,     24935,      27439
  80,     27682,      30864
  84,     30430,      34201
  88,     33400,      37671
  92,     36483,      40866
  96,     39767,      44104
 100,     43077,      47542
 104,     46662,      52350
 108,     50235,      55808
 112,     54042,      60187
 116,     57940,      64064
 120,     62008,      69180
 124,     66180,      74451
 128,     70557,      82174
 132,     75017,      89555
 136,     79596,     124039
 140,     84386,      93976
 144,     89232,      99212
 148,     94310,     104351
 152,     99407,     194117
 156,    104690,     117056
 160,    110159,     124017
 164,    115700,     251478
 168,    121436,     135341
 172,    127341,     141091
 176,    133247,     149756
 180,    139331,     155335
 184,    145664,     176520
 188,    152063,     170509
 192,    158557,     178137
 196,    165279,     182945
 200,    172125,     243925
 204,    178943,     198346
 208,    186098,     208710
 212,    193240,     227239
 216,    200770,     427592
 220,    208100,     232701
 224,    215757,     244166
 228,    223543,     491597
 232,    231435,     300335
 236,     88209,      98462
 240,     91236,     102272
 244,     94303,     108693
 248,     97444,     173166
 252,    100591,     112510
 256,    103797,     253029
 260,    107055,     122299
 264,    110426,     203100
 268,    113765,     205640
 272,    117171,     160528
 276,    135937,     176552
 280,    124151,     182465
 284,    127759,     197764
 288,    131375,     215690
 292,    135057,     307607
 296,    138759,     260653
 300,    142527,     277930
 304,    146347,     260422
 308,    150244,     294872
 312,    154147,     297833
 316,    158155,     324905
 320,    162163,     390266
 324,    166254,     355785
 328,    170371,     371532
 332,    174539,     378702
 336,    178779,     432423
 340,    183078,     336553
 344,    187406,     398135
 348,    191777,     426571
 352,    196218,     472280
 356,    200692,     470247
 360,    205229,     476018
 364,    209830,     451184
 368,    219666,     516370
 372,    219130,     526332
 376,    223901,     528056
 380,    228660,     489146
 384,    245605,     564613
 388,    238395,     524335
 392,    243308,     588854
 396,    248321,     602708
 400,    253363,     610541
 404,    258433,     624456
 408,    263590,     568934
 412,    273889,     635621
 416,    274012,     659914
 420,    279324,     619961
 424,    284645,     691449
 428,    290056,     700628
 432,    295497,     690660
 436,    301019,     732548
 440,    306541,     741136
 444,    312140,     751939
 448,    322994,     765633
 452,    323475,     793287
 456,    329256,     793713
 460,    335023,     810530
 464,    340900,     823985
 468,    346768,     788593
 472,    352763,     854284
 476,    358725,     864904
 480,    364794,     879884
 484,    370896,     899364
 488,    377061,     920414
 492,    383240,     948043
 496,    389503,     945268
 500,    395812,     953596
 504,    402155,     972366
 508,    408568,     993017
 512,    415025,    1607838
 516,    421573,    1023700
 520,    428089,    1039447
 524,    434712,    1047299
 528,    441361,    1069657
 532,    448121,    1087231
 536,    454850,    1120650
 540,    461659,    1112855
 544,    468508,    1136171
 548,    475455,    1153688
 552,    487441,    1160624
 556,    489411,    1181767
 560,    496532,    1205388
 564,    503652,    1217931
 568,    510764,    1230121
 572,    517967,    1250953
 576,    525269,    1266657
 580,    543286,    1299626
 584,    539978,    1391136
 588,    547390,    1346365
 592,    554893,    1356232
 596,    562363,    1366192
 600,    569957,    1371678
 604,    577551,    1398306
 608,    585268,    1414314
 612,    592970,    1435707
 616,    600779,    1460642
 620,    608580,    1476695
 624,    616491,    1486233
 628,    629634,    1504625
 632,    632363,    1554953
 636,    640430,    1542032
 640,    648471,    1586624
 644,    656625,    1615033
 648,    664836,    1637358
 652,    673021,    1623825
 656,    681317,    1665917
 660,    694710,    1658091
 664,    698336,    1689445
 668,    706471,    1705700
 672,    714948,    1725741
 676,    723461,    1788642
 680,    742811,    1985409
 684,    745959,    1964252
 688,    749374,    1949368
 692,    758097,    1846593
 696,    766922,    1859018
 700,    775746,    1872348
 704,    784651,    1906688
 708,    793552,    1916766
 712,    802631,    1977329
 716,    811869,    1954236
 720,    832400,    1987856
 724,    835703,    2009895
 728,    844461,    2021136
 732,    859620,    2043037
 736,    863131,    2067666
 740,    872505,    2087628
 744,    887907,    2158349
 748,    891492,    2135705
 752,    900532,    2161114
 756,    915971,    2175747
 760,    919829,    2210040
 764,    929274,    2224344
 768,    944759,    3182325
 772,    943497,    2280403
 776,    953331,    2305159
 780,    963175,    2355146
 784,    973123,    2359591
 788,    995277,    2411078
 792,    998737,    2389595
 796,   1003229,    2427828
 800,   1013260,    2446519
 804,   1023436,    2469198
 808,   1033661,    2515289
 812,   1043979,    2589735
 816,   1059755,    2866681
 820,   1064969,    2910825
 824,   1075689,    2650165
 828,   1097636,    2669122
 832,   1096520,    2662094
 836,   1124854,    2726686
 840,   1132193,    2691877
 844,   1128837,    2729918
 848,   1138552,    2750979
 852,   1163570,    2812301
 856,   1160252,    2797835
 860,   1171049,    2846709
 864,   1195766,    2865810
 868,   1193764,    2879656
 872,   1204329,    2914107
 876,   1222799,    2967442
 880,   1227861,    2982598
 884,   1238863,    2988634
 888,   1250371,    3038143
 892,   1261587,    3112499
 896,   1279182,    3382491
 900,   1283989,    3117994
 904,   1303915,    3161312
 908,   1307186,    3192025
 912,   1318645,    3237947
 916,   1329808,    3222439
 920,   1341533,    3244173
 924,   1361370,    3269663
 928,   1364396,    3304635
 932,   1385609,    3391875
 936,   1389035,    3377417
 940,   1410071,    3391453
 944,   1428838,    3449487
 948,   1425790,    3464162
 952,   1452453,    3464823
 956,   1449146,    3526182
 960,   1462218,    3545880
 964,   1481939,    3647970
 968,   1494665,    3594753
 972,   1499148,    3681318
 976,   1511366,    3710540
 980,   1542774,    3717690
 984,   1545970,    3805390
 988,   1550191,    3782408
