stride,size,t
1,2048,84603200
1,4096,77696759
1,8192,73448622
1,16384,78918937
1,32768,73253043
1,65536,73362671
1,131072,73663794
1,262144,83245872
1,524288,73524278
1,1048576,73476113
1,2097152,73670104
1,4194304,75068973
1,8388608,75009551
1,16777216,75093064
1,33554432,81558560
1,67108864,75327665
2,2048,80645334
2,4096,74972991
2,8192,75322267
2,16384,80217849
2,32768,74914206
2,65536,75033366
2,131072,75283857
2,262144,75133462
2,524288,80609877
2,1048576,75339152
2,2097152,81627964
2,4194304,77873472
2,8388608,80072782
2,16777216,78139335
2,33554432,84432798
2,67108864,83930017
3,2048,83805584
3,4096,77766041
3,8192,76686482
3,16384,76636868
3,32768,82168805
3,65536,82868993
3,131072,79917400
3,262144,82123212
3,524288,77252055
3,1048576,76863767
3,2097152,77207379
3,4194304,90964052
3,8388608,86976047
3,16777216,81152725
3,33554432,84101089
3,67108864,82078586
4,2048,96004440
4,4096,96005081
4,8192,83866647
4,16384,83772452
4,32768,79645005
4,65536,77863060
4,131072,79527927
4,262144,78036740
4,524288,83813861
4,1048576,78322833
4,2097152,84490033
4,4194304,83817815
4,8388608,84440221
4,16777216,96469285
4,33554432,95022011
4,67108864,84289956
5,2048,94126736
5,4096,83864796
5,8192,78571415
5,16384,78609311
5,32768,88680011
5,65536,84418148
5,131072,80507095
5,262144,85746462
5,524288,85137993
5,1048576,88842077
5,2097152,85595497
5,4194304,92235165
5,8388608,92975450
5,16777216,90545994
5,33554432,87018817
5,67108864,92356179
6,2048,94183681
6,4096,85796520
6,8192,80945960
6,16384,85717686
6,32768,85837229
6,65536,80426231
6,131072,85593153
6,262144,86426793
6,524288,80796990
6,1048576,86204931
6,2097152,81070912
6,4194304,92280015
6,8388608,90842349
6,16777216,95443296
6,33554432,95179844
6,67108864,89984070
7,2048,97868774
7,4096,80498328
7,8192,87524966
7,16384,80586533
7,32768,80422950
7,65536,80738560
7,131072,80473427
7,262144,80726920
7,524288,81525839
7,1048576,89715710
7,2097152,81893120
7,4194304,97157493
7,8388608,93946799
7,16777216,98633861
7,33554432,93182403
7,67108864,93488839
8,2048,95799805
8,4096,80127424
8,8192,79785765
8,16384,82536673
8,32768,82204810
8,65536,81800363
8,131072,82067405
8,262144,82140276
8,524288,92562773
8,1048576,82848385
8,2097152,83734824
8,4194304,96255371
8,8388608,97206391
8,16777216,107006026
8,33554432,97625622
8,67108864,97369618
9,2048,94927551
9,4096,82069700
9,8192,87655734
9,16384,82646225
9,32768,82697278
9,65536,82609112
9,131072,88111783
9,262144,92350738
9,524288,83749596
9,1048576,83901202
9,2097152,84818017
9,4194304,108117940
9,8388608,100699722
9,16777216,101678598
9,33554432,103805302
9,67108864,103432907
10,2048,98480333
10,4096,82255666
10,8192,87950154
10,16384,82613119
10,32768,83118704
10,65536,83810015
10,131072,93290733
10,262144,83442507
10,524288,85447821
10,1048576,85180129
10,2097152,86153794
10,4194304,101899193
10,8388608,109908430
10,16777216,110688048
10,33554432,104816487
10,67108864,105177537
11,2048,96842672
11,4096,93578707
11,8192,83442572
11,16384,83228044
11,32768,83329853
11,65536,83741831
11,131072,84060079
11,262144,83595855
11,524288,108118906
11,1048576,86682573
11,2097152,93390310
